Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Variant Compare At Price,Variant Requires Shipping,Image Src,Image Position,Status
alpine-summit-jacket,Alpine Summit Jacket,"<p>Our flagship 3-layer waterproof jacket built for summit pushes and backcountry exploration. Features fully taped seams, underarm vents, and a helmet-compatible hood.</p>",Summit Trail Co,Jackets,"outdoor, waterproof, hiking, alpine, bestseller",true,Color,Midnight Blue,Size,S,ALP-JKT-001-MB-S,650,12,deny,289.00,349.00,true,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=800,1,active
alpine-summit-jacket,Alpine Summit Jacket,,,,,,Color,Midnight Blue,Size,M,ALP-JKT-001-MB-M,680,24,deny,289.00,349.00,true,,,active
alpine-summit-jacket,Alpine Summit Jacket,,,,,,Color,Midnight Blue,Size,L,ALP-JKT-001-MB-L,710,18,deny,289.00,349.00,true,,,active
alpine-summit-jacket,Alpine Summit Jacket,,,,,,Color,Midnight Blue,Size,XL,ALP-JKT-001-MB-XL,740,8,deny,289.00,349.00,true,,,active
alpine-summit-jacket,Alpine Summit Jacket,,,,,,Color,Forest Green,Size,S,ALP-JKT-001-FG-S,650,15,deny,289.00,349.00,true,https://images.unsplash.com/photo-1544923246-77307dd628b5?w=800,2,active
alpine-summit-jacket,Alpine Summit Jacket,,,,,,Color,Forest Green,Size,M,ALP-JKT-001-FG-M,680,22,deny,289.00,349.00,true,,,active
alpine-summit-jacket,Alpine Summit Jacket,,,,,,Color,Forest Green,Size,L,ALP-JKT-001-FG-L,710,19,deny,289.00,349.00,true,,,active
alpine-summit-jacket,Alpine Summit Jacket,,,,,,Color,Forest Green,Size,XL,ALP-JKT-001-FG-XL,740,6,deny,289.00,349.00,true,,,active
trailblazer-hiking-pants,Trailblazer Hiking Pants,"<p>Durable, stretchy hiking pants designed for long days on the trail. Quick-dry fabric with UPF 50+ sun protection and zip-off legs.</p>",Summit Trail Co,Pants,"outdoor, hiking, convertible, UPF",true,Color,Stone Grey,Size,30,TRL-PNT-042-SG-30,380,14,deny,129.00,159.00,true,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=800,1,active
trailblazer-hiking-pants,Trailblazer Hiking Pants,,,,,,Color,Stone Grey,Size,32,TRL-PNT-042-SG-32,400,18,deny,129.00,159.00,true,,,active
trailblazer-hiking-pants,Trailblazer Hiking Pants,,,,,,Color,Stone Grey,Size,34,TRL-PNT-042-SG-34,420,21,deny,129.00,159.00,true,,,active
